strategy,size,epochs,mse,accuracy,network
swap-2,5,198,0.0023248856887221336,1.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,199,0.0024319810327142477,1.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,200,0.0024465571623295546,1.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,1,5.440308094024658,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,2,15.363415718078613,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,3,5.168870449066162,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,4,4.557028770446777,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,5,4.463448524475098,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,6,2.0419774055480957,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,7,2.1472856998443604,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,8,1.6832586526870728,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,9,1.416268229484558,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,10,1.2138978242874146,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,11,1.2001579999923706,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,12,1.2961033582687378,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,13,1.2752126455307007,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,14,1.1235157251358032,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,15,1.0210068225860596,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,16,1.0445899963378906,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,17,1.09785795211792,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,18,1.124635934829712,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,19,1.1165428161621094,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,20,1.0723145008087158,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,21,1.0200870037078857,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,22,0.9816337823867798,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,23,0.9632270932197571,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,24,0.9592445492744446,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,25,0.9481479525566101,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,26,0.9197360873222351,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,27,0.8827813267707825,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,28,0.8551785349845886,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,29,0.8373121023178101,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,30,0.8173649311065674,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,31,0.79163658618927,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,32,0.7726829051971436,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,33,0.752254843711853,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,34,0.687850832939148,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,35,0.5606681108474731,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,36,0.5285006761550903,0.008403361344537815,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,37,0.5414432287216187,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,38,0.53561931848526,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,39,0.48740315437316895,0.008403361344537815,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,40,0.43914568424224854,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
